Service,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
624,733,MUPR,08:34,KKDA UP,08:49,UP,15,yes,No StepBack,No StepBack,259,None
66,714,PVGW DN,08:35,KKDA DN,09:41,DN,66,no,No StepBack,No StepBack,463,464
625,709,KKDA DN,08:36,MUPR,08:51,DN,15,yes,No StepBack,No StepBack,309,None
400,738,MKPD,08:37,PVGW DN,08:52,DN,15,yes,No StepBack,No StepBack,502,503
401,712,PVGW UP,08:39,PVGW DN,09:13,UP,34,yes,No StepBack,No StepBack,100,567
67,731,KKDA UP,08:39,PVGW UP,09:45,UP,66,no,No StepBack,No StepBack,236,237
626,723,MUPR,08:39,KKDA UP,08:54,UP,15,yes,No StepBack,No StepBack,272,None
627,737,KKDA DN,08:40,MUPR,08:55,DN,15,yes,No StepBack,No StepBack,321,None
68,736,PVGW DN,08:40,KKDA DN,09:46,DN,66,no,No StepBack,No StepBack,477,478
628,735,MUPR,08:44,KKDA UP,08:59,UP,15,yes,No StepBack,No StepBack,283,None
629,703,KKDA DN,08:44,MUPR,08:59,DN,15,yes,No StepBack,No StepBack,330,None
69,722,KKDA UP,08:44,PVGW UP,09:50,UP,66,no,No StepBack,No StepBack,249,250
402,739,MKPD,08:46,PVGW DN,09:00,DN,14,yes,No StepBack,No StepBack,525,526
70,719,PVGW DN,08:46,KKDA DN,09:52,DN,66,no,No StepBack,No StepBack,490,491
403,704,PVGW UP,08:47,PVGW DN,09:21,UP,34,yes,No StepBack,No StepBack,114,590
71,733,KKDA UP,08:49,PVGW UP,09:55,UP,66,no,No StepBack,No StepBack,260,261
630,718,MUPR,08:49,KKDA UP,09:05,UP,16,yes,No StepBack,No StepBack,293,None
72,740,VND,08:50,KKDA DN,08:56,DN,6,yes,No StepBack,No StepBack,354,355
73,738,PVGW DN,08:52,KKDA DN,09:58,DN,66,no,No StepBack,No StepBack,504,505
631,713,KKDA DN,08:52,MUPR,09:07,DN,15,yes,No StepBack,No StepBack,348,None
404,724,PVGW UP,08:53,PVGW DN,09:29,UP,36,yes,No StepBack,No StepBack,125,618
632,709,MUPR,08:54,KKDA UP,09:10,UP,16,yes,No StepBack,No StepBack,311,None
74,723,KKDA UP,08:54,PVGW UP,10:01,UP,67,no,No StepBack,No StepBack,273,274
405,741,MKPD,08:54,PVGW DN,09:08,DN,14,yes,No StepBack,No StepBack,552,553
75,715,PVGW DN,08:56,KKDA DN,10:02,DN,66,no,No StepBack,No StepBack,517,518
633,740,KKDA DN,08:56,MUPR,09:11,DN,15,yes,No StepBack,No StepBack,356,None
406,701,PVGW UP,08:59,PVGW DN,09:38,UP,39,yes,No StepBack,No StepBack,139,642
76,735,KKDA UP,08:59,PVGW UP,10:06,UP,67,no,No StepBack,No StepBack,284,285
635,729,KKDA DN,09:00,MUPR,09:15,DN,15,yes,No StepBack,No StepBack,369,None
634,737,MUPR,09:00,KKDA UP,09:15,UP,15,yes,No StepBack,No StepBack,322,None
77,739,PVGW DN,09:00,KKDA DN,10:06,DN,66,no,No StepBack,No StepBack,527,528
407,742,MKPD,09:02,PVGW DN,09:17,DN,15,yes,No StepBack,No StepBack,576,577
78,705,PVGW DN,09:04,KKDA DN,10:10,DN,66,no,No StepBack,No StepBack,540,541
408,726,PVGW UP,09:04,PVGW DN,09:42,UP,38,yes,No StepBack,No StepBack,150,656
636,703,MUPR,09:05,KKDA UP,09:20,UP,15,yes,No StepBack,No StepBack,332,None
79,718,KKDA UP,09:05,PVGW UP,10:11,UP,66,no,No StepBack,No StepBack,294,295
637,708,KKDA DN,09:07,MUPR,09:22,DN,15,yes,No StepBack,No StepBack,382,None
80,741,PVGW DN,09:08,KKDA DN,10:14,DN,66,no,No StepBack,No StepBack,554,555
409,710,PVGW UP,09:09,PVGW DN,09:46,UP,37,yes,No StepBack,No StepBack,159,666
638,713,MUPR,09:10,KKDA UP,09:25,UP,15,yes,No StepBack,No StepBack,350,None
81,709,KKDA UP,09:10,PVGW UP,10:16,UP,66,no,No StepBack,No StepBack,312,313
410,743,MKPD,09:11,PVGW DN,09:25,DN,14,yes,No StepBack,No StepBack,603,604
82,712,PVGW DN,09:13,KKDA DN,10:18,DN,65,no,No StepBack,No StepBack,568,569
411,727,PVGW UP,09:14,PVGW DN,09:50,UP,36,yes,No StepBack,No StepBack,170,680
639,707,KKDA DN,09:14,MUPR,09:29,DN,15,yes,No StepBack,No StepBack,396,None
83,737,KKDA UP,09:15,PVGW UP,10:21,UP,66,no,No StepBack,No StepBack,323,324
640,740,MUPR,09:15,KKDA UP,09:30,UP,15,yes,No StepBack,No StepBack,357,None
84,742,PVGW DN,09:17,KKDA DN,10:23,DN,66,no,No StepBack,No StepBack,578,579
412,744,MKPD,09:19,PVGW DN,09:33,DN,14,yes,No StepBack,No StepBack,627,628
413,716,PVGW UP,09:19,PVGW DN,09:54,UP,35,yes,No StepBack,No StepBack,183,694
641,729,MUPR,09:20,KKDA UP,09:36,UP,16,yes,No StepBack,No StepBack,370,None
642,717,KKDA DN,09:20,MUPR,09:35,DN,15,yes,No StepBack,No StepBack,410,None
85,703,KKDA UP,09:20,PVGW UP,10:26,UP,66,no,No StepBack,No StepBack,333,334
86,704,PVGW DN,09:21,KKDA DN,10:27,DN,66,no,No StepBack,No StepBack,591,592
414,728,PVGW UP,09:24,PVGW DN,09:58,UP,34,yes,No StepBack,No StepBack,194,704
88,713,KKDA UP,09:25,PVGW UP,10:32,UP,67,no,No StepBack,No StepBack,351,352
643,708,MUPR,09:25,KKDA UP,09:41,UP,16,yes,No StepBack,No StepBack,384,None
644,732,KKDA DN,09:25,MUPR,09:40,DN,15,yes,No StepBack,No StepBack,424,None
87,743,PVGW DN,09:25,KKDA DN,10:31,DN,66,no,No StepBack,No StepBack,605,606
89,724,PVGW DN,09:29,KKDA DN,10:35,DN,66,no,No StepBack,No StepBack,619,620
415,720,PVGW UP,09:30,PVGW DN,10:03,UP,33,yes,No StepBack,No StepBack,207,718
645,702,KKDA DN,09:30,MUPR,09:45,DN,15,yes,No StepBack,No StepBack,437,None
90,740,KKDA UP,09:30,PVGW UP,10:37,UP,67,no,No StepBack,No StepBack,358,359
646,707,MUPR,09:32,KKDA UP,09:47,UP,15,yes,No StepBack,No StepBack,398,None
91,744,PVGW DN,09:33,KKDA DN,10:39,DN,66,no,No StepBack,No StepBack,629,630
416,730,PVGW UP,09:35,PVGW DN,10:08,UP,33,yes,No StepBack,No StepBack,218,732
647,734,KKDA DN,09:35,MUPR,09:51,DN,16,yes,No StepBack,No StepBack,451,None
92,729,KKDA UP,09:36,PVGW UP,10:42,UP,66,no,No StepBack,No StepBack,371,372
93,701,PVGW DN,09:38,KKDA DN,10:43,DN,65,no,No StepBack,No StepBack,643,644
648,717,MUPR,09:38,KKDA UP,09:53,UP,15,yes,No StepBack,No StepBack,412,None
417,721,PVGW UP,09:40,PVGW DN,10:13,UP,33,yes,No StepBack,No StepBack,231,746
649,714,KKDA DN,09:41,MUPR,09:56,DN,15,yes,No StepBack,No StepBack,465,None
94,708,KKDA UP,09:41,PVGW UP,10:47,UP,66,no,No StepBack,No StepBack,385,386
95,726,PVGW DN,09:42,KKDA DN,10:48,DN,66,no,No StepBack,No StepBack,657,658
650,732,MUPR,09:43,KKDA UP,09:58,UP,15,yes,No StepBack,No StepBack,425,None
418,731,PVGW UP,09:45,PVGW DN,10:18,UP,33,yes,No StepBack,No StepBack,238,756
651,736,KKDA DN,09:46,MUPR,10:01,DN,15,yes,No StepBack,No StepBack,479,None
96,710,PVGW DN,09:46,KKDA DN,10:52,DN,66,no,No StepBack,No StepBack,667,668
97,707,KKDA UP,09:47,PVGW UP,10:53,UP,66,no,No StepBack,No StepBack,399,400
652,702,MUPR,09:48,KKDA UP,10:03,UP,15,yes,No StepBack,No StepBack,439,None
98,727,PVGW DN,09:50,KKDA DN,10:56,DN,66,no,No StepBack,No StepBack,681,682
419,722,PVGW UP,09:50,PVGW DN,10:23,UP,33,yes,No StepBack,No StepBack,251,770
653,719,KKDA DN,09:52,MUPR,10:07,DN,15,yes,No StepBack,No StepBack,492,None
99,717,KKDA UP,09:53,PVGW UP,10:59,UP,66,no,No StepBack,No StepBack,413,414
654,734,MUPR,09:53,KKDA UP,10:09,UP,16,yes,No StepBack,No StepBack,452,None
100,716,PVGW DN,09:54,KKDA DN,11:00,DN,66,no,No StepBack,No StepBack,695,696
420,733,PVGW UP,09:55,PVGW DN,10:28,UP,33,yes,No StepBack,No StepBack,262,784
101,732,KKDA UP,09:58,PVGW UP,11:05,UP,67,no,No StepBack,No StepBack,426,427
102,728,PVGW DN,09:58,KKDA DN,11:04,DN,66,no,No StepBack,No StepBack,705,706
656,714,MUPR,09:58,KKDA UP,10:14,UP,16,yes,No StepBack,No StepBack,467,None
655,738,KKDA DN,09:58,MUPR,10:13,DN,15,yes,No StepBack,No StepBack,506,None
421,723,PVGW UP,10:01,PVGW DN,10:34,UP,33,yes,No StepBack,No StepBack,275,798
657,715,KKDA DN,10:02,MUPR,10:17,DN,15,yes,No StepBack,No StepBack,519,None
103,702,KKDA UP,10:03,PVGW UP,11:10,UP,67,no,No StepBack,No StepBack,440,441
104,720,PVGW DN,10:03,KKDA DN,11:08,DN,65,no,No StepBack,No StepBack,719,720
658,736,MUPR,10:04,KKDA UP,10:19,UP,15,yes,No StepBack,No StepBack,480,None
422,735,PVGW UP,10:06,PVGW DN,10:39,UP,33,yes,No StepBack,No StepBack,286,812
659,739,KKDA DN,10:06,MUPR,10:21,DN,15,yes,No StepBack,No StepBack,529,None
105,730,PVGW DN,10:08,KKDA DN,11:14,DN,66,no,No StepBack,No StepBack,733,734
660,719,MUPR,10:09,KKDA UP,10:24,UP,15,yes,No StepBack,No StepBack,494,None
106,734,KKDA UP,10:09,PVGW UP,11:15,UP,66,no,No StepBack,No StepBack,453,454
661,705,KKDA DN,10:10,MUPR,10:25,DN,15,yes,No StepBack,No StepBack,542,None
423,718,PVGW UP,10:11,PVGW DN,10:44,UP,33,yes,No StepBack,No StepBack,296,826
107,721,PVGW DN,10:13,KKDA DN,11:19,DN,66,no,No StepBack,No StepBack,747,748
663,741,KKDA DN,10:14,MUPR,10:29,DN,15,yes,No StepBack,No StepBack,556,None
108,714,KKDA UP,10:14,PVGW UP,11:20,UP,66,no,No StepBack,No StepBack,468,469
662,738,MUPR,10:14,KKDA UP,10:30,UP,16,yes,No StepBack,No StepBack,507,None
424,709,PVGW UP,10:16,PVGW DN,10:49,UP,33,yes,No StepBack,No StepBack,314,836
664,712,KKDA DN,10:18,MUPR,10:34,DN,16,yes,No StepBack,No StepBack,570,None
109,731,PVGW DN,10:18,KKDA DN,11:24,DN,66,no,No StepBack,No StepBack,757,758
110,736,KKDA UP,10:19,PVGW UP,11:25,UP,66,no,No StepBack,No StepBack,481,482
665,715,MUPR,10:20,KKDA UP,10:35,UP,15,yes,No StepBack,No StepBack,521,None
425,737,PVGW UP,10:21,PVGW DN,10:54,UP,33,yes,No StepBack,No StepBack,325,850
